----------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  Bin Id                Marker lineage            # genomes   # markers   # marker sets    0     1    2   3   4   5+   Completeness   Contamination   Strain heterogeneity  
  metabat.44             root (UID1)                 5656         56            24         56    0    0   0   0   0        0.00            0.00               0.00          
  metabat.43             root (UID1)                 5656         56            24         56    0    0   0   0   0        0.00            0.00               0.00          
  metabat.42             root (UID1)                 5656         56            24         56    0    0   0   0   0        0.00            0.00               0.00          
  metabat.40             root (UID1)                 5656         56            24         56    0    0   0   0   0        0.00            0.00               0.00          
  metabat.4              root (UID1)                 5656         56            24         56    0    0   0   0   0        0.00            0.00               0.00          
  metabat.36             root (UID1)                 5656         56            24         56    0    0   0   0   0        0.00            0.00               0.00          
  metabat.34         k__Bacteria (UID203)            5449        104            58        104    0    0   0   0   0        0.00            0.00               0.00          
  metabat.32             root (UID1)                 5656         56            24         56    0    0   0   0   0        0.00            0.00               0.00          
  metabat.31             root (UID1)                 5656         56            24         56    0    0   0   0   0        0.00            0.00               0.00          
  metabat.30             root (UID1)                 5656         56            24         56    0    0   0   0   0        0.00            0.00               0.00          
  metabat.28             root (UID1)                 5656         56            24         56    0    0   0   0   0        0.00            0.00               0.00          
  metabat.27             root (UID1)                 5656         56            24         56    0    0   0   0   0        0.00            0.00               0.00          
  metabat.26             root (UID1)                 5656         56            24         56    0    0   0   0   0        0.00            0.00               0.00          
  metabat.25             root (UID1)                 5656         56            24         56    0    0   0   0   0        0.00            0.00               0.00          
  metabat.23             root (UID1)                 5656         56            24         56    0    0   0   0   0        0.00            0.00               0.00          
  metabat.20             root (UID1)                 5656         56            24         56    0    0   0   0   0        0.00            0.00               0.00          
  metabat.19             root (UID1)                 5656         56            24         56    0    0   0   0   0        0.00            0.00               0.00          
  metabat.14             root (UID1)                 5656         56            24         56    0    0   0   0   0        0.00            0.00               0.00          
  metabat.13             root (UID1)                 5656         56            24         56    0    0   0   0   0        0.00            0.00               0.00          
  metabat.1              root (UID1)                 5656         56            24         56    0    0   0   0   0        0.00            0.00               0.00          
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------
